Unnamed: 0,fromLibrary,toLibrary,fromGroupArtifact,toGroupArtifact,inDepSeq,dataConfirmed
2168,json-simple,flexjson,com.googlecode.json-simple:json-simple,org.sonatype.nexus.xstream:xstream,0,False
2169,json-simple,jackson,com.googlecode.json-simple:json-simple,com.fasterxml.jackson.core:jackson-databind,56,True
2170,json-simple,svenson,com.github.cliftonlabs:json-simple,com.google.code.svenson:svenson,0,False
2171,json-simple,jackson,com.github.cliftonlabs:json-simple,org.codehaus.jackson:jackson-core-asl,0,False
2172,json-simple,flexjson,com.googlecode.json-simple:json-simple,org.hudsonci.tools:xstream,0,False
2173,json-simple,json-path,com.github.cliftonlabs:json-simple,io.paradoxical:json-path,0,False
2174,json-simple,flexjson,com.github.cliftonlabs:json-simple,org.hudsonci.tools:xstream,0,False
2175,json-simple,xstream,com.googlecode.json-simple:json-simple,xstream:xstream,0,False
2176,json-simple,jsonic,com.googlecode.json-simple:json-simple,net.arnx:jsonic,0,False
2177,json-simple,flexjson,com.github.cliftonlabs:json-simple,org.sonatype.nexus.xstream:xstream,0,False
2178,json-simple,json-path,com.googlecode.json-simple:json-simple,com.jayway.jsonpath:json-path,41,False
2179,json-simple,json-path,com.github.cliftonlabs:json-simple,com.jayway.restassured:json-path,0,False
2180,json-simple,jettison,com.googlecode.json-simple:json-simple,org.codehaus.jettison:jettison,11,False
2181,json-simple,jsonic,com.github.cliftonlabs:json-simple,net.arnx:jsonic,0,False
2182,json-simple,org.json,com.googlecode.json-simple:json-simple,org.json:json,55,True
2183,json-simple,json-lib,com.googlecode.json-simple:json-simple,com.hynnet:json-lib,0,False
2184,json-simple,jackson,com.googlecode.json-simple:json-simple,org.codehaus.jackson:jackson-mapper-asl,42,False
2185,json-smart,json-lib,net.minidev:json-smart,net.sf.json-lib:json-lib,0,False
2186,json-smart,flexjson,net.minidev:json-smart,org.sonatype.nexus.xstream:xstream,0,False
2187,json-smart,xstream,net.minidev:json-smart,xstream:xstream,0,False
2188,json-smart,json-lib,net.minidev:json-smart,org.kohsuke.stapler:json-lib,0,False
2189,json-smart,json-lib,net.minidev:json-smart,com.hynnet:json-lib,0,False
2190,json-smart,jackson,net.minidev:json-smart,org.codehaus.jackson:jackson-core-asl,3,False
2191,json-smart,json-simple,net.minidev:json-smart,com.github.cliftonlabs:json-simple,0,False
2192,json-smart,jackson,net.minidev:json-smart,org.codehaus.jackson:jackson-xc,0,False
2193,json-smart,json-path,net.minidev:json-smart,io.paradoxical:json-path,0,False
2194,json-smart,jackson,net.minidev:json-smart,com.fasterxml.jackson.core:jackson-core,10,False
2195,json-smart,json-simple,net.minidev:json-smart,com.googlecode.json-simple:json-simple,3,False
2196,json-smart,gson,net.minidev:json-smart,com.google.code.gson:gson,14,False
2197,json-smart,json-path,net.minidev:json-smart,com.jayway.restassured:json-path,0,False
2198,json-smart,xstream,net.minidev:json-smart,com.thoughtworks.xstream:xstream,0,False
2199,json-smart,svenson,net.minidev:json-smart,com.google.code.svenson:svenson,0,False
2200,json-smart,jettison,net.minidev:json-smart,org.codehaus.jettison:jettison,0,False
2201,json-smart,json-path,net.minidev:json-smart,com.jayway.jsonpath:json-path,1,False
2202,json-smart,flexjson,net.minidev:json-smart,org.hudsonci.tools:xstream,0,False
2203,json-smart,org.json,net.minidev:json-smart,org.json:json,1,False
2204,json-smart,jackson,net.minidev:json-smart,com.fasterxml.jackson.core:jackson-databind,14,True
2205,json-smart,flexjson,net.minidev:json-smart,net.sf.flexjson:flexjson,0,False
2206,json-smart,fastjson,net.minidev:json-smart,com.alibaba:fastjson,2,True
2207,json-smart,flexjson,net.minidev:json-smart,io.github.benas:xstream,0,False
2208,json-smart,jackson,net.minidev:json-smart,org.codehaus.jackson:jackson-mapper-asl,5,False
2209,json-smart,jsonic,net.minidev:json-smart,net.arnx:jsonic,0,False
2210,json-smart,jackson,net.minidev:json-smart,com.fasterxml.jackson.core:jackson-annotations,11,False
2211,jsonic,json-path,net.arnx:jsonic,io.paradoxical:json-path,0,False
2212,jsonic,json-lib,net.arnx:jsonic,net.sf.json-lib:json-lib,0,False
2213,jsonic,xstream,net.arnx:jsonic,com.thoughtworks.xstream:xstream,0,False
2214,jsonic,jackson,net.arnx:jsonic,org.codehaus.jackson:jackson-mapper-asl,0,False
2215,jsonic,xstream,net.arnx:jsonic,xstream:xstream,0,False
2216,jsonic,jettison,net.arnx:jsonic,org.codehaus.jettison:jettison,0,False
2217,jsonic,flexjson,net.arnx:jsonic,org.sonatype.nexus.xstream:xstream,0,False
2218,jsonic,json-lib,net.arnx:jsonic,com.hynnet:json-lib,0,False
2219,jsonic,gson,net.arnx:jsonic,com.google.code.gson:gson,1,False
2220,jsonic,svenson,net.arnx:jsonic,com.google.code.svenson:svenson,0,False
2221,jsonic,jackson,net.arnx:jsonic,org.codehaus.jackson:jackson-xc,0,False
2222,jsonic,jackson,net.arnx:jsonic,com.fasterxml.jackson.core:jackson-core,0,False
2223,jsonic,jackson,net.arnx:jsonic,org.codehaus.jackson:jackson-core-asl,0,False
2224,jsonic,flexjson,net.arnx:jsonic,net.sf.flexjson:flexjson,0,False
2225,jsonic,json-path,net.arnx:jsonic,com.jayway.jsonpath:json-path,0,False
2226,jsonic,json-lib,net.arnx:jsonic,org.kohsuke.stapler:json-lib,0,False
2227,jsonic,json-smart,net.arnx:jsonic,net.minidev:json-smart,0,False
2228,jsonic,org.json,net.arnx:jsonic,org.json:json,0,False
2229,jsonic,flexjson,net.arnx:jsonic,org.hudsonci.tools:xstream,0,False
2230,jsonic,fastjson,net.arnx:jsonic,com.alibaba:fastjson,0,False
2231,jsonic,json-path,net.arnx:jsonic,com.jayway.restassured:json-path,0,False
2232,jsonic,json-simple,net.arnx:jsonic,com.github.cliftonlabs:json-simple,0,False
2233,jsonic,jackson,net.arnx:jsonic,com.fasterxml.jackson.core:jackson-annotations,0,False
2234,jsonic,json-simple,net.arnx:jsonic,com.googlecode.json-simple:json-simple,0,False
2235,jsonic,jackson,net.arnx:jsonic,com.fasterxml.jackson.core:jackson-databind,0,False
2236,jsonic,flexjson,net.arnx:jsonic,io.github.benas:xstream,0,False
2237,jsoup,htmlparser,org.jsoup:jsoup,nu.validator.htmlparser:htmlparser,0,False
2238,jsoup,htmlparser,org.jsoup:jsoup,nu.validator:htmlparser,0,False
2239,jsoup,tagsoup,org.jsoup:jsoup,org.ccil.cowan.tagsoup:tagsoup,3,False
2240,jsoup,jericho-html,org.jsoup:jsoup,net.htmlparser.jericho:jericho-html,2,True
2241,jsoup,htmlcleaner,org.jsoup:jsoup,net.sourceforge.htmlcleaner:htmlcleaner,4,False
2242,jsoup,htmlunit,org.jsoup:jsoup,org.keycloak:keycloak-appliance-dist-all,0,False
2243,jsoup,jericho-html,org.jsoup:jsoup,net.htmlparser:jericho-html,0,False
2244,jsoup,nekohtml,org.jsoup:jsoup,nekohtml:nekohtml,1,False
2245,jsoup,htmlparser,org.jsoup:jsoup,org.htmlparser:htmlparser,0,False
2246,jsoup,nekohtml,org.jsoup:jsoup,net.sourceforge.nekohtml:nekohtml,6,False
2247,jsoup,tagsoup,org.jsoup:jsoup,tagsoup:tagsoup,0,False
2248,jsoup,htmlunit,org.jsoup:jsoup,htmlunit:htmlunit,0,False
2249,jung,jgrapht,net.sf.jung:jung-api,org.jgrapht:jgrapht,0,False
2250,jung,jgrapht,net.sf.jung:jung-api,org.jgrapht:jgrapht-core,1,False
2251,jung,jgoodies,net.sf.jung:jung-api,com.jgoodies:jgoodies-forms,0,False
