fromLibrary,toLibrary,score,fromGroupArtifacts,toGroupArtifacts
high-scale-lib,guava,1,com.boundary:high-scale-lib,com.boundary:high-scale-lib;com.google.guava:guava
hsqldb,mongo-java-driver,4,org.hsqldb:hsqldb;hsqldb:hsqldb,org.mongodb:mongo-java-driver;org.hsqldb:hsqldb;hsqldb:hsqldb
hsqldb,h2,4,org.hsqldb:hsqldb;hsqldb:hsqldb,org.hsqldb:hsqldb;com.h2database:h2;hsqldb:hsqldb
hsqldb,derby,4,org.hsqldb:hsqldb;hsqldb:hsqldb,org.apache.derby:derbyclient;org.hsqldb:hsqldb;hsqldb:hsqldb;org.apache.derby:derby
hsqldb,postgresql,3,org.hsqldb:hsqldb;hsqldb:hsqldb,postgresql:postgresql;org.hsqldb:hsqldb;org.postgresql:postgresql;hsqldb:hsqldb
hsqldb,neo4j,1,org.hsqldb:hsqldb;hsqldb:hsqldb,org.hsqldb:hsqldb;org.neo4j:neo4j;hsqldb:hsqldb
hsqldb,infinispan,1,org.hsqldb:hsqldb;hsqldb:hsqldb,org.infinispan:infinispan-core;org.hsqldb:hsqldb;hsqldb:hsqldb
htmlcleaner,jsoup,2,net.sourceforge.htmlcleaner:htmlcleaner,org.jsoup:jsoup;org.keycloak:keycloak-appliance-dist-all;net.sourceforge.htmlcleaner:htmlcleaner
htmlcleaner,htmlunit,2,net.sourceforge.htmlcleaner:htmlcleaner,net.sourceforge.htmlcleaner:htmlcleaner;htmlunit:htmlunit
htmlcleaner,htmlparser,1,net.sourceforge.htmlcleaner:htmlcleaner,net.sourceforge.htmlcleaner:htmlcleaner;org.htmlparser:htmlparser;nu.validator:htmlparser;nu.validator.htmlparser:htmlparser
htmlparser,jsoup,2,org.htmlparser:htmlparser;nu.validator:htmlparser;nu.validator.htmlparser:htmlparser,org.jsoup:jsoup;org.keycloak:keycloak-appliance-dist-all;org.htmlparser:htmlparser;nu.validator:htmlparser;nu.validator.htmlparser:htmlparser
htmlparser,nekohtml,1,org.htmlparser:htmlparser;nu.validator:htmlparser;nu.validator.htmlparser:htmlparser,net.sourceforge.nekohtml:nekohtml;org.htmlparser:htmlparser;nu.validator:htmlparser;nu.validator.htmlparser:htmlparser;nekohtml:nekohtml
htmlparser,htmlunit,1,org.htmlparser:htmlparser;nu.validator:htmlparser;nu.validator.htmlparser:htmlparser,org.htmlparser:htmlparser;nu.validator:htmlparser;nu.validator.htmlparser:htmlparser;htmlunit:htmlunit
htmlunit,htmlcleaner,2,htmlunit:htmlunit,net.sourceforge.htmlcleaner:htmlcleaner;htmlunit:htmlunit
httpclient,commons-httpclient,7,org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpmime;commons-httpclient:commons-httpclient;org.apache.httpcomponents:httpclient
httpclient,scribe,4,org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpmime;org.scribe:scribe;org.apache.httpcomponents:httpclient
httpclient,signpost,1,org.apache.httpcomponents:httpclient,oauth.signpost:signpost-core;org.apache.httpcomponents:httpmime;org.apache.httpcomponents:httpclient
httpclient,httpcore,1,org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpmime;org.apache.httpcomponents:httpcore;org.apache.httpcomponents:httpclient
httpcore,commons-httpclient,5,org.apache.httpcomponents:httpcore,org.apache.httpcomponents:httpmime;commons-httpclient:commons-httpclient;org.apache.httpcomponents:httpcore
httpcore,scribe,4,org.apache.httpcomponents:httpcore,org.apache.httpcomponents:httpmime;org.scribe:scribe;org.apache.httpcomponents:httpcore
httpcore,signpost,1,org.apache.httpcomponents:httpcore,oauth.signpost:signpost-core;org.apache.httpcomponents:httpmime;org.apache.httpcomponents:httpcore
infinispan,mongo-java-driver,1,org.infinispan:infinispan-core,org.infinispan:infinispan-core;org.mongodb:mongo-java-driver
jackson,org.json,8,com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;com.fasterxml.jackson.core:jackson-core,org.codehaus.jackson:jackson-xc;com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.json:json;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core
jackson,gson,8,com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;com.fasterxml.jackson.core:jackson-core,org.codehaus.jackson:jackson-xc;com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.google.code.gson:gson;com.fasterxml.jackson.core:jackson-core
